Language,Audio Path,WER,BLEU,BERTScore,Processing Time (s)
de_de,C:\Users\prakh\AppData\Local\Temp\tmp80_eo0pl.wav,0.444,0.841,0.943,0.96
de_de,C:\Users\prakh\AppData\Local\Temp\tmp9trj9ku5.wav,0.217,0.706,0.972,1.7
de_de,C:\Users\prakh\AppData\Local\Temp\tmp05rlii1b.wav,0.217,0.408,0.973,1.44
de_de,C:\Users\prakh\AppData\Local\Temp\tmp3r1r0tnh.wav,0.412,0.583,0.955,1.55
de_de,C:\Users\prakh\AppData\Local\Temp\tmpschwnzjs.wav,0.208,0.521,0.965,1.55
de_de,C:\Users\prakh\AppData\Local\Temp\tmpoqoqm3m4.wav,0.088,0.756,0.988,2.04
de_de,C:\Users\prakh\AppData\Local\Temp\tmpymn0en_8.wav,0.25,0.834,0.996,1.69
de_de,C:\Users\prakh\AppData\Local\Temp\tmpb0w3glno.wav,0.25,0.407,0.952,1.41
de_de,C:\Users\prakh\AppData\Local\Temp\tmpnwmzwdi4.wav,0.071,0.82,0.987,1.91
de_de,C:\Users\prakh\AppData\Local\Temp\tmpw_wddteb.wav,0.133,0.389,0.958,1.64
de_de,C:\Users\prakh\AppData\Local\Temp\tmp36tsgpsw.wav,0.2,0.392,0.959,1.67
de_de,C:\Users\prakh\AppData\Local\Temp\tmp2e1_ung2.wav,0.136,0.689,0.973,1.71
de_de,C:\Users\prakh\AppData\Local\Temp\tmp857jyux5.wav,0.357,0.416,0.958,1.97
de_de,C:\Users\prakh\AppData\Local\Temp\tmp4m3bm9qf.wav,0.227,0.82,0.978,1.6
de_de,C:\Users\prakh\AppData\Local\Temp\tmpg2xxs_me.wav,0.25,0.824,0.965,1.55
de_de,C:\Users\prakh\AppData\Local\Temp\tmpsra9e5bm.wav,0.059,0.372,0.95,1.36
de_de,C:\Users\prakh\AppData\Local\Temp\tmp9q4lduv7.wav,0.273,0.166,0.963,1.21
de_de,C:\Users\prakh\AppData\Local\Temp\tmp1pgiv5h4.wav,0.235,0.803,0.983,1.4
de_de,C:\Users\prakh\AppData\Local\Temp\tmp1hu6103r.wav,0.316,0.669,0.985,1.72
de_de,C:\Users\prakh\AppData\Local\Temp\tmpj4rab8r8.wav,0.455,0.7,0.971,1.95
de_de,C:\Users\prakh\AppData\Local\Temp\tmpxcu_qpsl.wav,0.174,0.865,0.989,1.79
de_de,C:\Users\prakh\AppData\Local\Temp\tmphxwdxxvw.wav,0.321,0.717,0.981,1.97
de_de,C:\Users\prakh\AppData\Local\Temp\tmpfjdvjuh2.wav,0.269,0.406,0.966,2.5
de_de,C:\Users\prakh\AppData\Local\Temp\tmpxmg4edqb.wav,0.12,0.642,0.98,1.68
de_de,C:\Users\prakh\AppData\Local\Temp\tmp6u95_cjh.wav,0.118,0.849,0.982,1.21
de_de,C:\Users\prakh\AppData\Local\Temp\tmp4z_oleos.wav,0.286,0.7,0.953,1.32
de_de,C:\Users\prakh\AppData\Local\Temp\tmpcpqc8w2t.wav,0.171,0.64,0.978,2.13
de_de,C:\Users\prakh\AppData\Local\Temp\tmpixu_q2lo.wav,0.438,0.518,0.986,1.75
de_de,C:\Users\prakh\AppData\Local\Temp\tmp11nvb3id.wav,0.238,0.72,0.959,1.31
de_de,C:\Users\prakh\AppData\Local\Temp\tmphnv4c94j.wav,0.273,0.318,0.961,0.94
de_de,C:\Users\prakh\AppData\Local\Temp\tmp95dq0gl5.wav,0.429,0.566,0.934,1.26
de_de,C:\Users\prakh\AppData\Local\Temp\tmph8e5ek1z.wav,0.227,0.27,0.967,1.54
de_de,C:\Users\prakh\AppData\Local\Temp\tmpb7106hn9.wav,0.35,0.246,0.92,1.39
de_de,C:\Users\prakh\AppData\Local\Temp\tmpeu7jxchz.wav,0.333,0.851,0.985,1.31
de_de,C:\Users\prakh\AppData\Local\Temp\tmpwdexq3f4.wav,0.263,0.767,0.99,1.29
de_de,C:\Users\prakh\AppData\Local\Temp\tmpo0fr8i1o.wav,0.219,0.579,0.967,2.14
de_de,C:\Users\prakh\AppData\Local\Temp\tmp49jpvytw.wav,0.125,0.43,0.965,1.74
de_de,C:\Users\prakh\AppData\Local\Temp\tmpch_twdpk.wav,0.192,0.558,0.958,1.94
de_de,C:\Users\prakh\AppData\Local\Temp\tmptcqlh_v2.wav,0.444,0.066,0.899,0.98
de_de,C:\Users\prakh\AppData\Local\Temp\tmpf0cxy7mg.wav,0.28,0.51,0.974,1.85
de_de,C:\Users\prakh\AppData\Local\Temp\tmp2by7rs1s.wav,0.235,0.597,0.941,1.26
de_de,C:\Users\prakh\AppData\Local\Temp\tmph88ejhzl.wav,0.217,0.706,0.972,1.71
de_de,C:\Users\prakh\AppData\Local\Temp\tmp72leqbeq.wav,0.121,0.622,0.962,2.01
de_de,C:\Users\prakh\AppData\Local\Temp\tmp5_1eiunn.wav,0.188,0.397,0.954,1.96
de_de,C:\Users\prakh\AppData\Local\Temp\tmp38106mpc.wav,0.385,0.581,0.963,0.99
de_de,C:\Users\prakh\AppData\Local\Temp\tmpwgxytxm2.wav,0.273,0.265,0.977,1.43
de_de,C:\Users\prakh\AppData\Local\Temp\tmpdcyz9zvk.wav,0.167,0.411,0.966,1.53
de_de,C:\Users\prakh\AppData\Local\Temp\tmptejdanu7.wav,0.235,0.748,0.972,1.41
de_de,C:\Users\prakh\AppData\Local\Temp\tmp6y2ftwn0.wav,0.263,0.595,0.987,1.62
de_de,C:\Users\prakh\AppData\Local\Temp\tmp9_a57qru.wav,0.333,0.648,0.945,2.17
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpz5u8wq_5.wav,0.091,0.726,0.995,1.29
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpwhjm4xgq.wav,0.095,0.696,0.993,1.49
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp_u92q19w.wav,0.25,0.305,0.876,0.97
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpfjflk1a4.wav,0.278,0.458,0.888,1.38
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpp1syd2z4.wav,0.25,0.487,0.946,1.28
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp8kcn803i.wav,0.188,0.807,0.975,1.06
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp36dw0hly.wav,0.304,0.434,0.972,1.61
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmprscvplck.wav,0.316,0.558,0.924,1.31
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpoyb1lbdy.wav,0.032,0.563,0.951,2.03
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpu69sromp.wav,0.233,0.654,0.964,1.97
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpc_hzddum.wav,0.263,0.586,0.943,3.27
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpibiwl4v7.wav,0.222,0.701,0.932,1.13
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp1rd3tqde.wav,0.246,0.654,0.955,3.34
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpm2cn68e_.wav,0.25,0.298,0.898,0.9
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp18fgr5t_.wav,0.231,0.589,0.977,1.79
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpcegdtada.wav,0.185,0.176,0.937,1.57
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpd2enkq5b.wav,0.55,0.014,0.865,13.91
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpj2mfk4cl.wav,0.167,0.33,0.941,1.65
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpwf8_k7vo.wav,0.25,0.576,0.984,1.0
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpxfqhf2tg.wav,0.294,0.487,0.978,1.37
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpr52t6tsj.wav,0.22,0.618,0.957,2.19
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpmskpa7vx.wav,0.28,0.518,0.938,1.4
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpuiohtajq.wav,0.156,0.4,0.945,2.58
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp7z2ij60w.wav,0.455,0.029,0.906,0.99
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpt3vchyr7.wav,0.094,0.754,0.989,2.08
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpbj8dbi0m.wav,0.133,0.04,0.951,1.22
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpz5wzxnkc.wav,0.242,0.423,0.958,2.23
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpa274wq39.wav,0.278,0.542,0.952,1.28
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmps60gwt_8.wav,0.407,0.762,0.991,1.95
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpbkdi_grs.wav,0.167,0.332,0.947,1.61
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpu_guf04t.wav,0.4,0.122,0.926,1.82
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpojw9qfut.wav,0.375,0.297,0.934,1.57
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpfa0wu0h6.wav,0.174,0.568,0.948,1.61
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpq5qcy5k_.wav,0.226,0.454,0.966,1.89
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpem1mzfie.wav,0.31,0.043,0.925,1.55
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpijwmgwz8.wav,0.24,0.493,0.985,1.41
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpkouf_8x1.wav,0.423,0.307,0.909,2.16
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpab6zo3pl.wav,0.083,0.83,0.99,1.82
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp5w_c9iug.wav,0.227,0.368,0.921,1.62
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpar3ttr0f.wav,0.1,0.74,0.952,1.49
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp26xiurxk.wav,0.154,0.583,0.985,1.02
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp3dbonh30.wav,0.286,0.266,0.945,1.12
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpwvqcf22a.wav,0.071,0.531,0.978,0.99
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp2uj26ov0.wav,0.147,0.768,0.992,2.27
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmplzsl4qyp.wav,0.556,0.222,0.945,1.16
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpkshlzvb7.wav,0.387,0.234,0.888,2.07
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpt8mut6ob.wav,0.533,0.033,0.913,1.03
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpj_adqjab.wav,0.375,0.403,0.946,1.9
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpbstv964q.wav,0.133,0.512,0.98,1.71
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpp21f4myo.wav,0.2,0.63,0.955,1.66
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpnsj14_nb.wav,0.139,0.66,0.96,1.99
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpznb4xxj2.wav,0.222,0.176,0.937,1.48
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp4uwapmbi.wav,0.4,0.316,0.936,1.39
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpssflh8n3.wav,0.217,0.597,0.967,1.52
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpv_usf7oc.wav,0.105,0.704,0.975,2.04
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpeivhwfzf.wav,0.138,0.761,0.967,1.86
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpm7ymbg9e.wav,0.091,0.785,0.972,1.36
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpastbz0mx.wav,0.238,0.499,0.952,1.42
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpcdhhpl4y.wav,0.357,0.344,0.951,1.28
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpyq1lyx9j.wav,0.417,0.53,0.936,0.95
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpy9nmy0uj.wav,0.111,0.674,0.994,1.22
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpk35unzic.wav,0.176,0.861,0.994,1.26
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpi1v3xqlg.wav,0.103,0.943,0.998,1.64
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpw8ysakyo.wav,0.15,0.598,0.958,1.31
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpakxd5upg.wav,0.381,0.254,0.958,1.41
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpe6ldhany.wav,0.318,0.232,0.914,2.1
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp6mv6fzi_.wav,0.12,0.733,0.992,1.66
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp7e_nc64p.wav,0.208,0.529,0.946,2.74
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpnzixdgoz.wav,0.259,0.506,0.943,1.51
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpt8kwfbwh.wav,0.208,0.423,0.941,1.56
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpqn3m468v.wav,0.289,0.496,0.952,2.07
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp7p3cvtl4.wav,0.238,0.622,0.976,2.24
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp2r8gj5jx.wav,0.263,0.748,0.991,1.58
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpr1w67r0m.wav,0.706,0.179,0.909,1.29
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpve7qj383.wav,0.192,0.545,0.949,1.54
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp_gc_5qk5.wav,0.16,0.911,0.983,1.52
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpczcqre0v.wav,0.077,0.839,0.996,1.06
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpf877f9w2.wav,0.231,0.893,1.0,0.95
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp6h9domyt.wav,0.067,0.644,0.987,1.96
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp3hklgy_2.wav,0.161,0.927,0.994,1.81
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpdi4oeg2s.wav,0.158,0.539,0.946,2.13
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpusn_vvzp.wav,0.171,0.452,0.962,2.0
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmplodssx09.wav,0.412,0.396,0.917,1.44
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpf0781tf3.wav,0.174,0.48,0.958,2.93
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpifk8bhmj.wav,0.118,0.521,0.968,2.16
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpp_0sny26.wav,0.238,0.725,0.981,2.07
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp246ewd05.wav,0.467,0.147,0.913,1.33
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpquefxucf.wav,0.211,0.63,0.974,1.57
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpt7x78i9t.wav,0.344,0.469,0.948,1.97
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpuqhwbbpi.wav,0.273,0.436,0.927,1.56
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp__coe7tk.wav,0.111,0.617,0.971,1.21
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpi0c1bq59.wav,0.179,0.765,0.988,1.97
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpqliphi7b.wav,0.154,0.084,0.953,1.59
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp0olxs0w6.wav,0.182,0.638,0.968,1.31
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmp1ywnz0oy.wav,0.211,0.716,0.98,1.34
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpx_llx8p2.wav,0.105,0.851,0.981,1.3
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpgnk1mnzn.wav,0.276,0.247,0.965,1.8
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpfq2jyewf.wav,0.255,0.567,0.956,2.84
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpnu8eitrb.wav,0.294,0.396,0.913,1.14
fr_fr,C:\Users\prakh\AppData\Local\Temp\tmpo_yi8_ea.wav,0.062,0.637,0.979,2.07
