Language,Audio Path,WER,BLEU,BERTScore,Processing Time (s)
en_us,C:\Users\prakh\AppData\Local\Temp\tmps2v9tcd1.wav,0.143,0.485,0.961,1.14
en_us,C:\Users\prakh\AppData\Local\Temp\tmp9gyy0e8h.wav,0.062,1.0,1.0,1.1
en_us,C:\Users\prakh\AppData\Local\Temp\tmpp5g5duek.wav,0.1,0.485,0.964,0.98
en_us,C:\Users\prakh\AppData\Local\Temp\tmpmvrliwbk.wav,0.095,0.596,0.974,1.35
en_us,C:\Users\prakh\AppData\Local\Temp\tmpx7j12x3y.wav,0.3,0.669,0.983,0.95
en_us,C:\Users\prakh\AppData\Local\Temp\tmptjf01b0k.wav,0.172,0.786,0.968,1.6
en_us,C:\Users\prakh\AppData\Local\Temp\tmprdpa9t4f.wav,0.1,0.749,0.962,1.29
en_us,C:\Users\prakh\AppData\Local\Temp\tmpgg37l2jj.wav,0.211,0.739,0.976,1.85
en_us,C:\Users\prakh\AppData\Local\Temp\tmp1asnqbu0.wav,0.167,0.576,0.97,1.35
en_us,C:\Users\prakh\AppData\Local\Temp\tmp7h5bl6dp.wav,0.125,1.0,1.0,1.35
en_us,C:\Users\prakh\AppData\Local\Temp\tmpef81v65d.wav,0.238,0.664,0.972,1.23
en_us,C:\Users\prakh\AppData\Local\Temp\tmp9dds45z_.wav,0.13,0.582,0.95,1.44
en_us,C:\Users\prakh\AppData\Local\Temp\tmpwgvr3k5v.wav,0.095,0.859,0.985,1.21
en_us,C:\Users\prakh\AppData\Local\Temp\tmpvcaaj_i7.wav,0.222,0.724,0.995,1.21
en_us,C:\Users\prakh\AppData\Local\Temp\tmpcssh431i.wav,0.056,0.841,0.99,1.25
en_us,C:\Users\prakh\AppData\Local\Temp\tmpq5q05073.wav,0.091,0.282,0.95,0.96
en_us,C:\Users\prakh\AppData\Local\Temp\tmpv1lk1usm.wav,0.222,0.056,0.927,1.02
en_us,C:\Users\prakh\AppData\Local\Temp\tmpi5bzx1zf.wav,0.176,0.887,0.988,1.33
en_us,C:\Users\prakh\AppData\Local\Temp\tmpexf91aog.wav,0.235,0.804,0.975,1.13
en_us,C:\Users\prakh\AppData\Local\Temp\tmpx3dp1871.wav,0.333,0.897,0.988,1.18
en_us,C:\Users\prakh\AppData\Local\Temp\tmp64sziyiz.wav,0.192,0.6,0.953,1.5
en_us,C:\Users\prakh\AppData\Local\Temp\tmp047hi7sz.wav,0.167,0.862,0.997,1.55
en_us,C:\Users\prakh\AppData\Local\Temp\tmpak1hhl9q.wav,0.286,0.605,0.928,1.46
en_us,C:\Users\prakh\AppData\Local\Temp\tmp9vo7rgtn.wav,0.214,0.507,0.962,1.14
en_us,C:\Users\prakh\AppData\Local\Temp\tmpd1p36lhl.wav,0.19,0.689,0.951,1.47
en_us,C:\Users\prakh\AppData\Local\Temp\tmp33jeatm7.wav,0.083,0.786,0.995,1.18
en_us,C:\Users\prakh\AppData\Local\Temp\tmpjlfqr4e8.wav,0.125,0.601,0.963,1.21
en_us,C:\Users\prakh\AppData\Local\Temp\tmp_bf9f4qn.wav,0.182,0.511,0.97,1.14
en_us,C:\Users\prakh\AppData\Local\Temp\tmpeqfldf2_.wav,0.591,0.043,0.935,2.07
en_us,C:\Users\prakh\AppData\Local\Temp\tmp01jz1wmr.wav,0.15,0.894,0.995,1.22
en_us,C:\Users\prakh\AppData\Local\Temp\tmpnouztp4t.wav,0.038,0.89,0.985,1.5
en_us,C:\Users\prakh\AppData\Local\Temp\tmp7yt88f_a.wav,0.143,0.668,0.997,1.82
en_us,C:\Users\prakh\AppData\Local\Temp\tmpopr1lnri.wav,0.294,0.806,0.978,1.24
en_us,C:\Users\prakh\AppData\Local\Temp\tmp3wyyhpr8.wav,0.061,0.973,0.994,1.64
en_us,C:\Users\prakh\AppData\Local\Temp\tmp6hd6r__e.wav,0.083,0.797,0.995,1.47
en_us,C:\Users\prakh\AppData\Local\Temp\tmpwth4r44o.wav,0.353,0.528,0.949,1.34
en_us,C:\Users\prakh\AppData\Local\Temp\tmpfuoz86eo.wav,0.048,0.87,0.997,1.47
en_us,C:\Users\prakh\AppData\Local\Temp\tmp23rcy77o.wav,0.065,0.89,0.99,1.64
en_us,C:\Users\prakh\AppData\Local\Temp\tmpjaf4qbt6.wav,0.154,0.794,0.991,1.54
en_us,C:\Users\prakh\AppData\Local\Temp\tmp00anpatb.wav,0.118,0.794,0.989,1.18
en_us,C:\Users\prakh\AppData\Local\Temp\tmp6qjwpby9.wav,0.304,0.365,0.916,1.39
en_us,C:\Users\prakh\AppData\Local\Temp\tmpcu26okls.wav,0.167,0.791,0.992,0.94
en_us,C:\Users\prakh\AppData\Local\Temp\tmpyishs1jq.wav,0.083,1.0,1.0,1.52
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpuopawev_.wav,1.0,0.046,0.912,1.67
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpayp896td.wav,0.625,0.51,0.95,3.75
